0,1,2,3
3336,,,
1,t1_data_1.csv,1.0,1.0
2,t1_data_1.csv,2.0,1.0
3,t1_data_1.csv,3.0,1.0
4,t1_data_1.csv,4.0,1.0
5,t1_data_1.csv,5.0,1.0
6,t1_data_1.csv,6.0,1.0
7,t1_data_1.csv,7.0,1.0
8,t1_data_1.csv,8.0,1.0
9,t1_data_1.csv,9.0,1.0
10,t1_data_1.csv,10.0,1.0
11,t1_data_1.csv,11.0,1.0
12,t1_data_1.csv,12.0,1.0
13,t1_data_1.csv,13.0,1.0
14,t1_data_1.csv,14.0,1.0
15,t1_data_1.csv,15.0,1.0
16,t1_data_1.csv,16.0,1.0
17,t1_data_1.csv,17.0,1.0
18,t1_data_1.csv,18.0,1.0
19,t1_data_1.csv,19.0,1.0
20,t1_data_1.csv,20.0,1.0
21,t1_data_1.csv,21.0,1.0
22,t1_data_1.csv,22.0,1.0
23,t1_data_1.csv,23.0,1.0
24,t1_data_1.csv,24.0,1.0
25,t1_data_1.csv,25.0,1.0
26,t1_data_1.csv,26.0,1.0
27,t1_data_1.csv,27.0,1.0
28,t1_data_1.csv,28.0,1.0
29,t1_data_1.csv,29.0,1.0
30,t1_data_1.csv,30.0,1.0
31,t1_data_1.csv,31.0,1.0
32,t1_data_1.csv,32.0,1.0
33,t1_data_1.csv,33.0,1.0
34,t1_data_1.csv,34.0,1.0
35,t1_data_1.csv,35.0,1.0
36,t1_data_1.csv,36.0,1.0
37,t1_data_1.csv,37.0,1.0
38,t1_data_1.csv,38.0,1.0
39,t1_data_2.csv,1.0,1.0
40,t1_data_2.csv,2.0,1.0
41,t1_data_2.csv,3.0,1.0
42,t1_data_2.csv,4.0,1.0
43,t1_data_2.csv,5.0,1.0
44,t1_data_2.csv,6.0,1.0
45,t1_data_2.csv,7.0,1.0
46,t1_data_2.csv,8.0,1.0
47,t1_data_2.csv,9.0,1.0
48,t1_data_2.csv,10.0,1.0
49,t1_data_2.csv,11.0,1.0
50,t1_data_2.csv,12.0,1.0
51,t1_data_2.csv,13.0,1.0
52,t1_data_2.csv,14.0,1.0
53,t1_data_2.csv,15.0,1.0
54,t1_data_2.csv,16.0,1.0
55,t1_data_2.csv,17.0,1.0
56,t1_data_2.csv,18.0,1.0
57,t1_data_2.csv,19.0,1.0
58,t1_data_2.csv,20.0,1.0
59,t1_data_2.csv,21.0,1.0
60,t1_data_2.csv,22.0,1.0
61,t1_data_2.csv,23.0,1.0
62,t1_data_2.csv,24.0,1.0
63,t1_data_2.csv,25.0,1.0
64,t1_data_2.csv,26.0,1.0
65,t1_data_2.csv,27.0,1.0
66,t1_data_2.csv,28.0,1.0
67,t1_data_2.csv,29.0,1.0
68,t1_data_2.csv,30.0,1.0
69,t1_data_2.csv,31.0,1.0
70,t1_data_2.csv,32.0,1.0
71,t1_data_2.csv,33.0,1.0
72,t1_data_2.csv,34.0,1.0
73,t1_data_2.csv,35.0,1.0
74,t1_data_2.csv,36.0,1.0
75,t1_data_2.csv,37.0,1.0
76,t1_data_2.csv,38.0,1.0
77,t1_data_3.csv,1.0,1.0
78,t1_data_3.csv,2.0,1.0
79,t1_data_3.csv,3.0,1.0
80,t1_data_3.csv,4.0,1.0
81,t1_data_3.csv,5.0,1.0
82,t1_data_3.csv,6.0,1.0
83,t1_data_3.csv,7.0,1.0
84,t1_data_3.csv,8.0,1.0
85,t1_data_3.csv,9.0,1.0
86,t1_data_3.csv,10.0,1.0
87,t1_data_3.csv,11.0,1.0
88,t1_data_3.csv,12.0,1.0
89,t1_data_3.csv,13.0,1.0
90,t1_data_3.csv,14.0,1.0
91,t1_data_3.csv,15.0,1.0
92,t1_data_3.csv,16.0,1.0
93,t1_data_3.csv,17.0,1.0
94,t1_data_3.csv,18.0,1.0
95,t1_data_3.csv,19.0,1.0
96,t1_data_3.csv,20.0,1.0
97,t1_data_3.csv,21.0,1.0
98,t1_data_3.csv,22.0,1.0
99,t1_data_3.csv,23.0,1.0
100,t1_data_3.csv,24.0,1.0
101,t1_data_3.csv,25.0,1.0
102,t1_data_3.csv,26.0,1.0
103,t1_data_3.csv,27.0,1.0
104,t1_data_3.csv,28.0,1.0
105,t1_data_3.csv,29.0,1.0
106,t1_data_3.csv,30.0,1.0
107,t1_data_3.csv,31.0,1.0
108,t1_data_3.csv,32.0,1.0
109,t1_data_3.csv,33.0,1.0
110,t1_data_3.csv,34.0,1.0
111,t1_data_3.csv,35.0,1.0
112,t1_data_3.csv,36.0,1.0
113,t1_data_3.csv,37.0,1.0
114,t1_data_3.csv,38.0,1.0
115,t1_data_4.csv,1.0,1.0
116,t1_data_4.csv,2.0,1.0
117,t1_data_4.csv,3.0,1.0
118,t1_data_4.csv,4.0,1.0
119,t1_data_4.csv,5.0,1.0
120,t1_data_4.csv,6.0,1.0
121,t1_data_4.csv,7.0,1.0
122,t1_data_4.csv,8.0,1.0
123,t1_data_4.csv,9.0,1.0
124,t1_data_4.csv,10.0,1.0
125,t1_data_4.csv,11.0,1.0
126,t1_data_4.csv,12.0,1.0
127,t1_data_4.csv,13.0,1.0
128,t1_data_4.csv,14.0,1.0
129,t1_data_4.csv,15.0,1.0
130,t1_data_4.csv,16.0,1.0
131,t1_data_4.csv,17.0,1.0
132,t1_data_4.csv,18.0,1.0
133,t1_data_4.csv,19.0,1.0
134,t1_data_4.csv,20.0,1.0
135,t1_data_4.csv,21.0,1.0
136,t1_data_4.csv,22.0,1.0
137,t1_data_4.csv,23.0,1.0
138,t1_data_4.csv,24.0,1.0
139,t1_data_4.csv,25.0,1.0
140,t1_data_4.csv,26.0,1.0
141,t1_data_4.csv,27.0,1.0
142,t1_data_4.csv,28.0,1.0
143,t1_data_4.csv,29.0,1.0
144,t1_data_4.csv,30.0,1.0
145,t1_data_4.csv,31.0,1.0
146,t1_data_4.csv,32.0,1.0
147,t1_data_4.csv,33.0,1.0
148,t1_data_4.csv,34.0,1.0
149,t1_data_4.csv,35.0,1.0
150,t1_data_4.csv,36.0,1.0
151,t1_data_4.csv,37.0,1.0
152,t1_data_4.csv,38.0,1.0
153,t1_data_5.csv,1.0,1.0
154,t1_data_5.csv,2.0,1.0
155,t1_data_5.csv,3.0,1.0
156,t1_data_5.csv,4.0,1.0
157,t1_data_5.csv,5.0,1.0
158,t1_data_5.csv,6.0,1.0
159,t1_data_5.csv,7.0,1.0
160,t1_data_5.csv,8.0,1.0
161,t1_data_5.csv,9.0,1.0
162,t1_data_5.csv,10.0,1.0
163,t1_data_5.csv,11.0,1.0
164,t1_data_5.csv,12.0,1.0
165,t1_data_5.csv,13.0,1.0
166,t1_data_5.csv,14.0,1.0
167,t1_data_5.csv,15.0,1.0
168,t1_data_5.csv,16.0,1.0
169,t1_data_5.csv,17.0,1.0
170,t1_data_5.csv,18.0,1.0
171,t1_data_5.csv,19.0,1.0
172,t1_data_5.csv,20.0,1.0
173,t1_data_5.csv,21.0,1.0
174,t1_data_5.csv,22.0,1.0
175,t1_data_5.csv,23.0,1.0
176,t1_data_5.csv,24.0,1.0
177,t1_data_5.csv,25.0,1.0
178,t1_data_5.csv,26.0,1.0
179,t1_data_5.csv,27.0,1.0
180,t1_data_5.csv,28.0,1.0
181,t1_data_5.csv,29.0,1.0
182,t1_data_5.csv,30.0,1.0
183,t1_data_5.csv,31.0,1.0
184,t1_data_5.csv,32.0,1.0
185,t1_data_5.csv,33.0,1.0
186,t1_data_5.csv,34.0,1.0
187,t1_data_5.csv,35.0,1.0
188,t1_data_5.csv,36.0,1.0
189,t1_data_5.csv,37.0,1.0
190,t1_data_5.csv,38.0,1.0
191,t1_data_6.csv,1.0,1.0
192,t1_data_6.csv,2.0,1.0
193,t1_data_6.csv,3.0,1.0
194,t1_data_6.csv,4.0,1.0
195,t1_data_6.csv,5.0,1.0
196,t1_data_6.csv,6.0,1.0
197,t1_data_6.csv,7.0,1.0
198,t1_data_6.csv,8.0,1.0
199,t1_data_6.csv,9.0,1.0
200,t1_data_6.csv,10.0,1.0
201,t1_data_6.csv,11.0,1.0
202,t1_data_6.csv,12.0,1.0
203,t1_data_6.csv,13.0,1.0
204,t1_data_6.csv,14.0,1.0
205,t1_data_6.csv,15.0,1.0
206,t1_data_6.csv,16.0,1.0
207,t1_data_6.csv,17.0,1.0
208,t1_data_6.csv,18.0,1.0
209,t1_data_6.csv,19.0,1.0
210,t1_data_6.csv,20.0,1.0
211,t1_data_6.csv,21.0,1.0
212,t1_data_6.csv,22.0,1.0
213,t1_data_6.csv,23.0,1.0
214,t1_data_6.csv,24.0,1.0
215,t1_data_6.csv,25.0,1.0
216,t1_data_6.csv,26.0,1.0
217,t1_data_6.csv,27.0,1.0
218,t1_data_6.csv,28.0,1.0
219,t1_data_6.csv,29.0,1.0
220,t1_data_6.csv,30.0,1.0
221,t1_data_6.csv,31.0,1.0
222,t1_data_6.csv,32.0,1.0
223,t1_data_6.csv,33.0,1.0
224,t1_data_6.csv,34.0,1.0
225,t1_data_6.csv,35.0,1.0
226,t1_data_6.csv,36.0,1.0
227,t1_data_6.csv,37.0,1.0
228,t1_data_6.csv,38.0,1.0
229,t1_data_7.csv,1.0,1.0
230,t1_data_7.csv,2.0,1.0
231,t1_data_7.csv,3.0,1.0
232,t1_data_7.csv,4.0,1.0
233,t1_data_7.csv,5.0,1.0
234,t1_data_7.csv,6.0,1.0
235,t1_data_7.csv,7.0,1.0
236,t1_data_7.csv,8.0,1.0
237,t1_data_7.csv,9.0,1.0
238,t1_data_7.csv,10.0,1.0
239,t1_data_7.csv,11.0,1.0
240,t1_data_7.csv,12.0,1.0
241,t1_data_7.csv,13.0,1.0
242,t1_data_7.csv,14.0,1.0
243,t1_data_7.csv,15.0,1.0
244,t1_data_7.csv,16.0,1.0
245,t1_data_7.csv,17.0,1.0
246,t1_data_7.csv,18.0,1.0
247,t1_data_7.csv,19.0,1.0
248,t1_data_7.csv,20.0,1.0
249,t1_data_7.csv,21.0,1.0
250,t1_data_7.csv,22.0,1.0
251,t1_data_7.csv,23.0,1.0
252,t1_data_7.csv,24.0,1.0
253,t1_data_7.csv,25.0,1.0
254,t1_data_7.csv,26.0,1.0
255,t1_data_7.csv,27.0,1.0
256,t1_data_7.csv,28.0,1.0
257,t1_data_7.csv,29.0,1.0
258,t1_data_7.csv,30.0,1.0
259,t1_data_7.csv,31.0,1.0
260,t1_data_7.csv,32.0,1.0
261,t1_data_7.csv,33.0,1.0
262,t1_data_7.csv,34.0,1.0
263,t1_data_7.csv,35.0,1.0
264,t1_data_7.csv,36.0,1.0
265,t1_data_7.csv,37.0,1.0
266,t1_data_7.csv,38.0,1.0
267,t1_data_8.csv,1.0,1.0
268,t1_data_8.csv,2.0,1.0
269,t1_data_8.csv,3.0,1.0
270,t1_data_8.csv,4.0,1.0
271,t1_data_8.csv,5.0,1.0
272,t1_data_8.csv,6.0,1.0
273,t1_data_8.csv,7.0,1.0
274,t1_data_8.csv,8.0,1.0
275,t1_data_8.csv,9.0,1.0
276,t1_data_8.csv,10.0,1.0
277,t1_data_8.csv,11.0,1.0
278,t1_data_8.csv,12.0,1.0
279,t1_data_8.csv,13.0,1.0
280,t1_data_8.csv,14.0,1.0
281,t1_data_8.csv,15.0,1.0
282,t1_data_8.csv,16.0,1.0
283,t1_data_8.csv,17.0,1.0
284,t1_data_8.csv,18.0,1.0
285,t1_data_8.csv,19.0,1.0
286,t1_data_8.csv,20.0,1.0
287,t1_data_8.csv,21.0,1.0
288,t1_data_8.csv,22.0,1.0
289,t1_data_8.csv,23.0,1.0
290,t1_data_8.csv,24.0,1.0
291,t1_data_8.csv,25.0,1.0
292,t1_data_8.csv,26.0,1.0
293,t1_data_8.csv,27.0,1.0
294,t1_data_8.csv,28.0,1.0
295,t1_data_8.csv,29.0,1.0
296,t1_data_8.csv,30.0,1.0
297,t1_data_8.csv,31.0,1.0
298,t1_data_8.csv,32.0,1.0
299,t1_data_8.csv,33.0,1.0
300,t1_data_8.csv,34.0,1.0
301,t1_data_8.csv,35.0,1.0
302,t1_data_8.csv,36.0,1.0
303,t1_data_8.csv,37.0,1.0
304,t1_data_8.csv,38.0,1.0
305,t1_data_9.csv,1.0,1.0
306,t1_data_9.csv,2.0,1.0
307,t1_data_9.csv,3.0,1.0
308,t1_data_9.csv,4.0,1.0
309,t1_data_9.csv,5.0,1.0
310,t1_data_9.csv,6.0,1.0
311,t1_data_9.csv,7.0,1.0
312,t1_data_9.csv,8.0,1.0
313,t1_data_9.csv,9.0,1.0
314,t1_data_9.csv,10.0,1.0
315,t1_data_9.csv,11.0,1.0
316,t1_data_9.csv,12.0,1.0
317,t1_data_9.csv,13.0,1.0
318,t1_data_9.csv,14.0,1.0
319,t1_data_9.csv,15.0,1.0
320,t1_data_9.csv,16.0,1.0
321,t1_data_9.csv,17.0,1.0
322,t1_data_9.csv,18.0,1.0
323,t1_data_9.csv,19.0,1.0
324,t1_data_9.csv,20.0,1.0
325,t1_data_9.csv,21.0,1.0
326,t1_data_9.csv,22.0,1.0
327,t1_data_9.csv,23.0,1.0
328,t1_data_9.csv,24.0,1.0
329,t1_data_9.csv,25.0,1.0
330,t1_data_9.csv,26.0,1.0
331,t1_data_9.csv,27.0,1.0
332,t1_data_9.csv,28.0,1.0
333,t1_data_9.csv,29.0,1.0
334,t1_data_9.csv,30.0,1.0
335,t1_data_9.csv,31.0,1.0
336,t1_data_9.csv,32.0,1.0
337,t1_data_9.csv,33.0,1.0
338,t1_data_9.csv,34.0,1.0
339,t1_data_9.csv,35.0,1.0
340,t1_data_9.csv,36.0,1.0
341,t1_data_9.csv,37.0,1.0
342,t1_data_9.csv,38.0,1.0
343,t1_data_10.csv,1.0,1.0
344,t1_data_10.csv,2.0,1.0
345,t1_data_10.csv,3.0,1.0
346,t1_data_10.csv,4.0,1.0
347,t1_data_10.csv,5.0,1.0
348,t1_data_10.csv,6.0,1.0
349,t1_data_10.csv,7.0,1.0
350,t1_data_10.csv,8.0,1.0
351,t1_data_10.csv,9.0,1.0
352,t1_data_10.csv,10.0,1.0
353,t1_data_10.csv,11.0,1.0
354,t1_data_10.csv,12.0,1.0
355,t1_data_10.csv,13.0,1.0
356,t1_data_10.csv,14.0,1.0
357,t1_data_10.csv,15.0,1.0
358,t1_data_10.csv,16.0,1.0
359,t1_data_10.csv,17.0,1.0
360,t1_data_10.csv,18.0,1.0
361,t1_data_10.csv,19.0,1.0
362,t1_data_10.csv,20.0,1.0
363,t1_data_10.csv,21.0,1.0
364,t1_data_10.csv,22.0,1.0
365,t1_data_10.csv,23.0,1.0
366,t1_data_10.csv,24.0,1.0
367,t1_data_10.csv,25.0,1.0
368,t1_data_10.csv,26.0,1.0
369,t1_data_10.csv,27.0,1.0
370,t1_data_10.csv,28.0,1.0
371,t1_data_10.csv,29.0,1.0
372,t1_data_10.csv,30.0,1.0
373,t1_data_10.csv,31.0,1.0
374,t1_data_10.csv,32.0,1.0
375,t1_data_10.csv,33.0,1.0
376,t1_data_10.csv,34.0,1.0
377,t1_data_10.csv,35.0,1.0
378,t1_data_10.csv,36.0,1.0
379,t1_data_10.csv,37.0,1.0
380,t1_data_10.csv,38.0,1.0
381,t1_data_11.csv,1.0,1.0
382,t1_data_11.csv,2.0,1.0
383,t1_data_11.csv,3.0,1.0
384,t1_data_11.csv,4.0,1.0
385,t1_data_11.csv,5.0,1.0
386,t1_data_11.csv,6.0,1.0
387,t1_data_11.csv,7.0,1.0
388,t1_data_11.csv,8.0,1.0
389,t1_data_11.csv,9.0,1.0
390,t1_data_11.csv,10.0,1.0
391,t1_data_11.csv,11.0,1.0
392,t1_data_11.csv,12.0,1.0
393,t1_data_11.csv,13.0,1.0
394,t1_data_11.csv,14.0,1.0
395,t1_data_11.csv,15.0,1.0
396,t1_data_11.csv,16.0,1.0
397,t1_data_11.csv,17.0,1.0
398,t1_data_11.csv,18.0,1.0
399,t1_data_11.csv,19.0,1.0
400,t1_data_11.csv,20.0,1.0
401,t1_data_11.csv,21.0,1.0
402,t1_data_11.csv,22.0,1.0
403,t1_data_11.csv,23.0,1.0
404,t1_data_11.csv,24.0,1.0
405,t1_data_11.csv,25.0,1.0
406,t1_data_11.csv,26.0,1.0
407,t1_data_11.csv,27.0,1.0
408,t1_data_11.csv,28.0,1.0
409,t1_data_11.csv,29.0,1.0
410,t1_data_11.csv,30.0,1.0
411,t1_data_11.csv,31.0,1.0
412,t1_data_11.csv,32.0,1.0
413,t1_data_11.csv,33.0,1.0
414,t1_data_11.csv,34.0,1.0
415,t1_data_11.csv,35.0,1.0
416,t1_data_11.csv,36.0,1.0
417,t1_data_11.csv,37.0,1.0
418,t1_data_11.csv,38.0,1.0
419,t1_data_12.csv,1.0,1.0
420,t1_data_12.csv,2.0,1.0
421,t1_data_12.csv,3.0,1.0
422,t1_data_12.csv,4.0,1.0
423,t1_data_12.csv,5.0,1.0
424,t1_data_12.csv,6.0,1.0
425,t1_data_12.csv,7.0,1.0
426,t1_data_12.csv,8.0,1.0
427,t1_data_12.csv,9.0,1.0
428,t1_data_12.csv,10.0,1.0
429,t1_data_12.csv,11.0,1.0
430,t1_data_12.csv,12.0,1.0
431,t1_data_12.csv,13.0,1.0
432,t1_data_12.csv,14.0,1.0
433,t1_data_12.csv,15.0,1.0
434,t1_data_12.csv,16.0,1.0
435,t1_data_12.csv,17.0,1.0
436,t1_data_12.csv,18.0,1.0
437,t1_data_12.csv,19.0,1.0
438,t1_data_12.csv,20.0,1.0
439,t1_data_12.csv,21.0,1.0
440,t1_data_12.csv,22.0,1.0
441,t1_data_12.csv,23.0,1.0
442,t1_data_12.csv,24.0,1.0
443,t1_data_12.csv,25.0,1.0
444,t1_data_12.csv,26.0,1.0
445,t1_data_12.csv,27.0,1.0
446,t1_data_12.csv,28.0,1.0
447,t1_data_12.csv,29.0,1.0
448,t1_data_12.csv,30.0,1.0
449,t1_data_12.csv,31.0,1.0
450,t1_data_12.csv,32.0,1.0
451,t1_data_12.csv,33.0,1.0
452,t1_data_12.csv,34.0,1.0
453,t1_data_12.csv,35.0,1.0
454,t1_data_12.csv,36.0,1.0
455,t1_data_12.csv,37.0,1.0
456,t1_data_12.csv,38.0,1.0
457,t1_data_13.csv,1.0,1.0
458,t1_data_13.csv,2.0,1.0
459,t1_data_13.csv,3.0,1.0
460,t1_data_13.csv,4.0,1.0
461,t1_data_13.csv,5.0,1.0
462,t1_data_13.csv,6.0,1.0
463,t1_data_13.csv,7.0,1.0
464,t1_data_13.csv,8.0,1.0
465,t1_data_13.csv,9.0,1.0
466,t1_data_13.csv,10.0,1.0
467,t1_data_13.csv,11.0,1.0
468,t1_data_13.csv,12.0,1.0
469,t1_data_13.csv,13.0,1.0
470,t1_data_13.csv,14.0,1.0
471,t1_data_13.csv,15.0,1.0
472,t1_data_13.csv,16.0,1.0
473,t1_data_13.csv,17.0,1.0
474,t1_data_13.csv,18.0,1.0
475,t1_data_13.csv,19.0,1.0
476,t1_data_13.csv,20.0,1.0
477,t1_data_13.csv,21.0,1.0
478,t1_data_13.csv,22.0,1.0
479,t1_data_13.csv,23.0,1.0
480,t1_data_13.csv,24.0,1.0
481,t1_data_13.csv,25.0,1.0
482,t1_data_13.csv,26.0,1.0
483,t1_data_13.csv,27.0,1.0
484,t1_data_13.csv,28.0,1.0
485,t1_data_13.csv,29.0,1.0
486,t1_data_13.csv,30.0,1.0
487,t1_data_13.csv,31.0,1.0
488,t1_data_13.csv,32.0,1.0
